Total	Norte	Nordeste	Sudeste	Sul	Centro_Oeste
26978358,02	1574434,34	4457112,38	14929524,40	4510113,04	1507173,86
26508170,77	1507448,59	4139768,00	14714713,51	4690227,86	1456012,81
27284329,41	1574176,69	4372743,11	14903795,68	4898770,40	1534843,53
28046182,35	1598862,11	4461999,48	15501322,96	4873311,14	1610686,66
27244506,48	1625478,92	4423584,52	14906628,72	4723026,16	1565788,16
27082961,48	1641381,91	4409301,74	14898517,41	4556563,56	1577196,86
27346004,67	1665002,57	4376174,12	15094285,46	4598792,89	1611749,63
27656857,79	1729895,89	4438514,59	15189574,87	4653182,44	1645690,00
28232451,24	1687156,54	4570030,34	15593685,74	4654411,58	1727167,04
28556120,94	1724166,75	4657880,99	15839877,16	4590697,50	1743498,54
28367124,05	1719638,46	4708464,83	15804794,18	4529419,23	1604807,35
28562106,43	1740620,86	4770509,72	15750647,95	4665214,36	1635113,54
28375437,44	1687538,58	4775175,93	15518488,33	4809416,19	1584818,41
27838480,97	1619124,37	4526038,11	15157054,86	4966585,86	1569677,77
28598631,51	1669597,53	4692201,49	15516647,87	5069873,21	1650311,41
29355501,91	1651886,51	4675415,48	16304407,60	4997008,14	1726784,18
28482150,61	1689408,58	4738600,68	15581963,43	4799820,58	1672357,34
28326181,92	1692287,96	4575214,83	15633866,99	4760323,79	1664488,35
28322317,12	1718917,78	4643778,48	15509118,44	4724562,06	1725940,36
28764354,81	1725457,31	4739650,56	15838516,63	4743658,99	1717071,32
29335128,08	1752160,80	4763780,85	16391988,83	4654131,24	1773066,36
29145312,05	1796178,41	4849539,18	16074848,55	4668762,35	1755983,56
29287617,22	1787686,74	4919391,14	16089442,92	4748342,43	1742753,99
29505146,07	1774268,42	5005463,90	16116894,27	4948742,88	1659776,60
28880910,62	1727931,86	4913181,87	15695620,21	4927599,77	1616576,91
29383486,50	1646351,90	4704041,08	16178817,62	5187222,33	1667053,57
29897827,73	1741059,95	4976021,88	16273216,75	5211509,39	1696019,76
29887953,01	1733653,39	4856338,37	16494218,43	5062542,87	1741199,95
28925038,56	1753959,19	4793831,55	15885834,52	4807141,00	1684272,30
29068797,60	1761920,03	4769522,06	15969883,01	4879785,77	1687686,73
29113809,23	1812929,25	4760160,14	15981706,52	4847373,10	1711640,22
29886236,06	1851942,88	4939399,63	16352069,78	4957961,01	1784862,76
29916630,54	1886314,46	4950953,07	16434266,18	4841502,43	1803594,40
30143525,32	1899959,41	5141500,93	16453397,74	4852384,50	1796282,74
30531121,36	1871573,61	5132731,46	16722623,48	5043949,26	1760243,55
30493979,03	1864369,94	5122709,51	16689648,17	5074875,27	1742376,14
30699704,00	1833708,00	5184828,00	16699870,00	5203429,00	1777869,00
30324669,00	1752986,00	4883152,00	16615359,00	5351937,00	1721235,00
31312900,00	1820537,00	4985447,00	17288542,00	5424059,00	1794315,00
32030744,00	1832867,00	5117947,00	17761372,00	5404659,00	1913899,00
31382917,00	1889427,00	5132742,00	17290528,00	5219841,00	1850379,00
30766760,00	1899318,00	5079581,00	16890489,00	5114607,00	1782765,00
30500299,00	1912792,00	5131886,00	16589542,00	5056898,00	1809181,00
31181133,00	1950708,00	5212952,00	16970732,00	5194645,00	1852096,00
31735736,00	1964607,00	5148024,00	17585510,00	5157841,00	1879754,00
32135735,00	2006525,00	5440994,00	17488650,00	5240394,00	1959172,00
32654491,00	1995582,00	5502715,00	17983265,00	5294910,00	1878019,00
32304926,00	1991017,00	5546780,00	17621312,00	5333163,00	1812654,00
31855946,27	1890320,00	5505389,27	17157633,00	5491078,00	1811526,00
31730940,65	1836296,00	5284769,65	17088727,00	5689547,00	1831601,00
32118714,86	1900506,00	5365905,86	17293931,00	5723834,00	1834538,00
31952656,29	1888899,00	5266621,29	17284914,00	5604344,00	1907878,00
32299963,39	1933034,00	5436907,39	17577262,00	5382338,00	1970422,00
31742987,79	1980943,00	5241034,79	17180445,00	5368281,00	1972284,00
32150352,03	1998546,00	5334190,03	17451996,00	5419027,00	1946593,00
33013528,63	2066807,00	5400230,63	17983892,00	5520183,00	2042416,00
32964086,69	2112487,00	5461713,69	17869017,00	5412749,00	2108120,00
33673777,38	2151182,00	5685044,38	18231987,00	5481462,00	2124102,00
33410166,51	2081744,00	5585548,51	18164111,00	5441085,00	2137678,00
31559278,49	2032318,00	5535839,49	16659849,00	5366031,00	1965241,00
30666661,80	1981913,00	5340331,00	16124348,00	5279472,00	1940597,80
30495142,71	1804162,00	5098685,00	16190533,00	5465140,00	1936622,71
31977749,51	1882490,00	5391003,00	16931565,00	5742612,00	2030079,51
32042792,80	1919027,00	5307847,00	17027530,00	5671556,00	2116832,80
30945452,90	1923559,00	5189806,00	16500151,00	5266440,00	2065496,90
30715169,95	1993823,00	5122496,00	16330119,00	5261043,00	2007688,95
31324991,23	2023693,00	5257360,00	16655879,00	5315045,00	2073014,23
32262205,60	2074891,00	5501276,00	17158443,00	5392188,00	2135407,60
32716665,81	2089534,00	5581245,00	17516988,10	5362624,00	2166274,71
33419533,14	2135822,00	5779775,00	17858520,00	5440950,00	2204466,14
